Species,Mass Arrival Date,Peak Date,Peak Over Date
Stilt Sandpiper,04-22,04-30,05-06
Summer Tanager,05-15,05-21,05-30
Surf Scoter,05-01,05-07,05-13
Swamp Sparrow,04-17,05-21,10-18
Swainson's Thrush,05-11,05-31,08-03
Tennessee Warbler,05-04,05-21,06-22
Tree Swallow,04-13,05-14,07-27
Trumpeter Swan,03-15,04-21,05-14
Tundra Swan,03-22,03-31,04-27
Turkey Vulture,03-24,04-14,10-10
Veery,05-07,05-31,08-06
Vesper Sparrow,04-07,04-21,05-05
Virginia Rail,04-26,05-21,06-20
Warbling Vireo,05-01,05-21,06-27
Western Meadowlark,04-22,04-30,05-06
White-breasted Nuthatch,03-14,03-14,03-14
White-crowned Sparrow,04-24,05-07,05-21
Whimbrel,05-15,05-21,05-30
White-rumped Sandpiper,05-16,05-31,06-13
White-throated Sparrow,04-12,05-14,10-19
White-winged Crossbill,02-28,02-28,02-28
White-winged Dove,02-28,02-28,02-28
White-winged Scoter,05-06,05-21,05-29
Willow Flycatcher,05-15,05-21,05-30
Wilson's Phalarope,05-03,05-14,05-25
Wilson's Snipe,04-07,05-21,08-28
Wild Turkey,02-26,02-28,03-06
Winter Wren,04-06,05-31,08-19
Wilson's Warbler,05-07,05-21,05-31
Wood Duck,03-25,04-21,10-21
Wood Thrush,05-03,05-31,08-04
American Coot,04-13,05-21,05-31
Iceland Gull,04-08,04-14,04-20
Yellow-breasted Chat,05-15,05-21,05-29
Yellow-billed Cuckoo,05-22,05-31,07-06
Yellow-bellied Flycatcher,05-15,05-31,08-27
Yellow-bellied Sapsucker,04-05,05-31,09-27
Yellow Rail,05-22,05-31,06-06
Yellow Warbler,05-01,05-14,08-09
Yellow-rumped Warbler,04-16,05-14,10-15
