Species,Mass Arrival Date,Peak Date,Peak Over Date
Semipalmated Sandpiper,05-08,05-21,06-06
Short-billed Dowitcher,05-02,05-14,05-27
Short-eared Owl,03-18,03-21,03-26
Sharp-shinned Hawk,04-07,04-07,04-07
Snow Bunting,02-28,02-28,02-28
Snow Goose,02-23,03-21,04-01
Snowy Owl,03-21,03-21,03-21
Solitary Sandpiper,04-17,05-07,05-21
Song Sparrow,03-07,04-30,08-31
Sora,04-09,04-30,05-31
Spotted Sandpiper,04-15,05-14,09-21
Spotted Towhee,04-21,04-21,04-21
Stilt Sandpiper,05-08,05-14,05-20
Summer Tanager,04-30,05-07,05-17
Surf Scoter,05-14,05-21,05-27
Swamp Sparrow,04-04,04-30,06-30
Swainson's Thrush,04-30,05-14,05-25
Tennessee Warbler,05-01,05-14,05-26
Tree Swallow,03-28,05-14,08-30
Trumpeter Swan,03-21,03-31,04-09
Tufted Titmouse,04-27,05-14,05-20
Tundra Swan,02-22,03-14,03-29
Turkey Vulture,03-06,04-14,11-15
Upland Sandpiper,04-08,04-14,04-20
Varied Thrush,02-28,02-28,02-28
Veery,04-30,05-14,07-12
Vesper Sparrow,03-31,04-14,07-25
Virginia Rail,04-09,04-21,06-23
Warbling Vireo,04-24,05-21,08-03
Western Sandpiper,05-23,05-31,06-06
White-breasted Nuthatch,05-07,05-07,05-07
White-crowned Sparrow,04-22,05-07,05-18
White-eyed Vireo,04-16,04-30,05-07
Whimbrel,05-10,05-21,05-30
Whooper Swan,03-15,03-21,03-30
White-rumped Sandpiper,05-14,05-31,06-06
White-throated Sparrow,04-13,04-30,05-10
White-winged Crossbill,03-14,03-14,03-14
White-winged Scoter,05-17,05-21,05-27
Willow Flycatcher,05-10,05-21,08-12
Willet,04-15,04-30,05-10
Wilson's Phalarope,04-30,05-14,06-01
Wilson's Snipe,03-23,04-21,05-08
Wild Turkey,04-17,04-30,05-25
Winter Wren,03-25,04-14,04-28
Wilson's Warbler,05-06,05-14,05-29
Wood Duck,02-28,05-21,10-30
Wood Thrush,04-23,05-14,08-02
American Coot,03-14,04-07,05-07
Iceland Gull,03-14,03-14,03-14
Yellow-breasted Chat,04-22,04-30,05-06
Yellow-billed Cuckoo,05-12,05-31,08-20
Yellow-bellied Flycatcher,05-09,05-21,06-06
Yellow-bellied Sapsucker,03-27,04-30,07-12
Yellow-headed Blackbird,04-22,04-30,05-06
Yellow Warbler,04-21,05-14,08-10
Yellow-rumped Warbler,04-05,04-30,05-19
Yellow-throated Vireo,04-25,05-21,07-17
Yellow-throated Warbler,05-08,05-14,05-28
