Species,Mass Arrival Date,Peak Date,Peak Over Date
Willet,05-15,05-21,05-29
Wilson's Phalarope,04-23,05-14,05-20
Wilson's Snipe,03-21,04-21,07-16
Wild Turkey,03-26,04-30,05-07
Winter Wren,03-25,04-30,08-03
Wilson's Warbler,05-04,05-14,05-28
Wood Duck,03-14,04-14,06-30
Wood Thrush,05-02,05-14,07-16
American Coot,04-21,04-21,04-21
Iceland Gull,04-07,04-07,04-07
Yellow-billed Cuckoo,05-11,05-31,07-02
Yellow-bellied Flycatcher,05-13,05-21,06-04
Yellow-bellied Sapsucker,04-01,04-21,08-16
Yellow-headed Blackbird,04-01,04-07,04-13
Yellow Warbler,04-27,05-14,08-13
Yellow-rumped Warbler,04-12,04-30,05-20
Yellow-throated Vireo,05-03,05-14,09-07
