Species,Mass Arrival Date,Peak Date,Peak Over Date
Solitary Sandpiper,04-21,05-07,05-24
Song Sparrow,03-13,04-07,10-21
Sora,04-10,05-14,06-05
Spotted Sandpiper,04-21,05-14,09-08
Stilt Sandpiper,05-01,05-14,06-04
Summer Tanager,04-15,04-21,04-29
Surf Scoter,02-28,02-28,02-28
Swamp Sparrow,04-03,05-14,10-20
Swainson's Thrush,05-04,05-14,05-30
Tennessee Warbler,05-02,05-14,05-27
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-31,05-14,08-10
Tricolored Heron,05-22,05-31,06-13
Trumpeter Swan,02-22,03-14,05-18
Tufted Titmouse,05-15,05-21,05-30
Tundra Swan,02-23,03-14,04-08
Turkey Vulture,03-14,04-07,10-20
Upland Sandpiper,04-21,05-14,07-12
Varied Thrush,02-28,02-28,02-28
Veery,05-05,05-21,07-25
Vesper Sparrow,04-01,05-31,08-02
Virginia Rail,04-05,05-14,09-06
Warbling Vireo,04-29,05-21,07-30
Western Meadowlark,04-22,04-30,05-07
Western Tanager,04-22,04-30,05-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-20
White-faced Ibis,05-15,05-21,05-30
Whimbrel,05-09,05-21,05-29
White Wagtail,04-15,04-21,04-29
White-rumped Sandpiper,05-09,05-21,06-04
White-throated Sparrow,04-13,04-30,05-19
White-winged Crossbill,03-14,03-14,03-14
White-winged Dove,02-28,02-28,02-28
White-winged Scoter,02-28,03-07,03-14
Willow Flycatcher,05-10,05-21,07-28
Willet,04-15,04-21,05-01
Wilson's Phalarope,05-07,05-14,06-02
Wilson's Snipe,03-27,04-21,05-31
Wild Turkey,04-01,04-21,05-19
Winter Wren,03-31,05-07,08-03
Wilson's Warbler,05-06,05-14,05-31
Wood Duck,03-11,04-07,10-19
Wood Thrush,04-30,05-14,08-06
American Coot,04-14,04-14,04-14
Iceland Gull,02-28,02-28,02-28
Yellow-billed Cuckoo,05-14,05-31,08-24
Yellow-bellied Flycatcher,05-08,05-21,06-05
Yellow-bellied Sapsucker,03-31,04-30,08-21
Yellow-headed Blackbird,05-22,05-31,06-07
Yellow Warbler,04-25,05-14,08-14
Yellow-rumped Warbler,04-12,04-30,05-21
Yellow-throated Vireo,05-01,05-14,07-23
