Species,Mass Arrival Date,Peak Date,Peak Over Date
Semipalmated Plover,05-05,05-14,06-02
Semipalmated Sandpiper,05-08,05-21,06-08
Short-billed Dowitcher,05-01,05-07,05-13
Short-eared Owl,03-14,03-14,03-14
Sharp-shinned Hawk,04-07,04-07,04-07
Snow Bunting,02-28,02-28,02-28
Snow Goose,02-28,02-28,02-28
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-16,05-07,05-21
Song Sparrow,03-08,05-21,10-30
Sora,04-15,05-07,06-12
Spotted Sandpiper,04-16,05-14,09-22
Summer Tanager,05-01,05-07,05-19
Surf Scoter,04-08,04-14,04-20
Swamp Sparrow,04-05,05-07,11-07
Swainson's Thrush,05-04,05-14,05-26
Tennessee Warbler,05-03,05-14,05-23
Tree Swallow,03-28,05-07,08-01
Trumpeter Swan,03-23,03-31,05-03
Tufted Titmouse,03-10,03-14,03-19
Tundra Swan,02-23,03-14,04-01
Turkey Vulture,03-03,03-31,10-29
Upland Sandpiper,04-22,04-30,05-06
Varied Thrush,02-28,02-28,02-28
Veery,05-01,05-14,08-05
Vesper Sparrow,04-06,05-31,07-14
Virginia Rail,04-03,05-07,07-04
Warbling Vireo,04-26,05-14,07-24
Western Meadowlark,02-28,02-28,02-28
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-22,05-07,05-18
White-rumped Sandpiper,05-05,05-14,05-20
White-throated Sparrow,04-11,04-21,05-11
White-winged Crossbill,03-07,03-07,03-07
White-winged Scoter,05-15,05-21,05-29
Willow Flycatcher,05-10,05-31,07-30
Wilson's Phalarope,05-23,05-31,06-06
Wilson's Snipe,03-22,04-21,04-30
Wild Turkey,04-07,04-14,05-23
Winter Wren,03-28,04-30,06-07
Wilson's Warbler,05-03,05-14,05-29
Wood Duck,03-07,03-31,10-16
Wood Thrush,04-25,05-14,07-14
American Coot,03-12,04-14,05-03
Iceland Gull,02-28,02-28,02-28
Yellow-breasted Chat,05-15,05-21,05-29
Yellow-billed Cuckoo,05-11,05-31,09-03
Yellow-bellied Flycatcher,05-15,05-21,06-05
Yellow-bellied Sapsucker,03-31,04-21,07-06
Yellow Warbler,04-23,05-14,08-05
Yellow-rumped Warbler,04-11,04-30,05-20
Yellow-throated Vireo,05-05,05-14,07-24
