Species,Mass Arrival Date,Peak Date,Peak Over Date
Wood Duck,03-21,04-21,10-20
Wood Thrush,05-02,05-14,07-28
American Coot,03-10,03-21,03-30
Iceland Gull,03-15,03-21,03-30
Yellow-billed Cuckoo,05-15,05-21,07-07
Yellow-bellied Flycatcher,05-08,05-21,09-16
Yellow-bellied Sapsucker,04-02,04-30,09-25
Yellow Warbler,04-29,05-14,08-10
Yellow-rumped Warbler,04-16,05-14,07-21
Yellow-throated Vireo,04-28,05-07,05-16
