Species,Mass Arrival Date,Peak Date,Peak Over Date
Tundra Swan,04-01,04-07,04-13
Turkey Vulture,04-04,04-30,10-04
Upland Sandpiper,05-16,05-31,07-27
Varied Thrush,02-28,02-28,02-28
Veery,05-07,05-21,07-27
Vesper Sparrow,05-15,05-21,08-07
Virginia Rail,05-21,05-31,07-19
Warbling Vireo,05-08,05-21,07-21
Western Grebe,05-08,05-14,05-20
Western Kingbird,05-15,05-21,06-12
Western Meadowlark,05-04,05-31,07-31
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-28,05-07,05-20
White-rumped Sandpiper,05-15,05-31,06-07
White-throated Sparrow,04-14,05-14,11-08
White-winged Crossbill,05-19,05-21,05-27
White-winged Scoter,05-15,05-21,05-30
Willet,05-15,05-21,05-30
Wilson's Phalarope,04-25,05-21,06-14
Wilson's Snipe,04-04,04-30,07-13
Winter Wren,04-21,05-07,08-24
Wilson's Warbler,05-08,05-21,05-31
Wood Duck,03-24,04-21,07-13
Wood Thrush,05-03,05-21,07-10
American Coot,04-23,05-31,07-08
Yellow-billed Cuckoo,05-15,05-21,05-30
Yellow-bellied Flycatcher,05-15,05-31,07-28
Yellow-bellied Sapsucker,04-07,04-21,08-21
Yellow-headed Blackbird,04-17,05-31,07-08
Yellow Rail,05-11,05-31,08-05
Yellow Warbler,05-07,05-21,08-22
Yellow-rumped Warbler,04-09,05-14,10-20
Yellow-throated Vireo,05-14,05-21,07-06
