Species,Mass Arrival Date,Peak Date,Peak Over Date
Sandhill Crane,03-14,04-14,05-21
Sanderling,05-03,05-21,06-06
Savannah Sparrow,04-03,05-31,08-21
Scarlet Tanager,04-30,05-14,05-30
Sedge Wren,05-15,05-21,06-13
Semipalmated Plover,05-05,05-14,06-06
Semipalmated Sandpiper,05-08,05-31,06-07
Short-billed Dowitcher,05-04,05-14,05-23
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,04-10,04-14,04-16
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-07,05-14,05-21
Snow Goose,03-17,03-21,03-24
Snowy Owl,03-21,03-21,03-21
Solitary Sandpiper,04-21,05-14,05-24
Song Sparrow,03-07,04-30,11-05
Sora,04-09,05-21,07-05
Spotted Sandpiper,04-16,05-14,09-24
Summer Tanager,04-22,04-30,05-13
Surf Scoter,04-01,04-07,04-13
Swamp Sparrow,03-31,04-30,07-14
Swainson's Thrush,04-30,05-14,05-29
Tennessee Warbler,04-30,05-14,05-26
Tree Swallow,03-21,04-30,09-11
Trumpeter Swan,04-14,04-14,04-14
Tufted Titmouse,03-24,03-31,05-24
Tundra Swan,02-22,03-07,03-21
Turkey Vulture,03-03,03-31,10-31
Upland Sandpiper,05-18,05-31,07-09
Varied Thrush,02-22,02-28,03-06
Veery,04-25,05-14,05-21
Vesper Sparrow,03-30,04-30,08-05
Virginia Rail,04-14,05-14,06-04
Warbling Vireo,04-24,05-21,08-11
White-breasted Nuthatch,03-23,03-31,04-21
White-crowned Sparrow,04-21,05-07,05-18
White-eyed Vireo,04-16,05-14,05-20
Whimbrel,05-10,05-21,05-29
White-rumped Sandpiper,05-08,05-21,06-07
White-throated Sparrow,04-05,04-30,05-13
White-winged Crossbill,04-04,04-14,05-06
White-winged Scoter,02-20,02-28,03-11
Willow Flycatcher,05-10,05-31,08-04
Willet,05-08,05-14,05-20
Wilson's Phalarope,05-07,05-14,06-06
Wilson's Snipe,03-19,04-14,05-07
Wild Turkey,03-27,04-14,05-28
Winter Wren,03-24,04-07,05-04
Wilson's Warbler,04-29,05-14,05-31
Worm-eating Warbler,04-22,04-30,05-06
Wood Duck,03-13,03-31,06-04
