Species,Mass Arrival Date,Peak Date,Peak Over Date
Northern Waterthrush,04-19,05-07,05-20
Northern Rough-winged Swallow,04-07,04-21,09-26
Nelson's Sparrow,05-05,05-14,05-20
Northern Saw-whet Owl,02-28,02-28,02-28
Olive-sided Flycatcher,05-01,05-21,06-06
Orchard Oriole,04-24,05-14,06-14
Orange-crowned Warbler,04-14,04-30,05-20
Osprey,03-21,05-14,10-28
Ovenbird,04-21,05-07,05-24
Pacific Loon,05-01,05-07,05-19
Painted Bunting,04-15,04-21,04-29
Palm Warbler,04-15,04-30,05-19
Parasitic Jaeger,05-22,05-31,06-06
Pectoral Sandpiper,03-18,04-07,05-15
Peregrine Falcon,04-30,04-30,04-30
Philadelphia Vireo,05-01,05-14,05-28
Pied-billed Grebe,03-09,03-31,04-27
Pileated Woodpecker,04-07,04-21,05-14
Pine Grosbeak,02-28,02-28,02-28
Pine Siskin,02-26,02-28,03-01
Pine Warbler,04-07,04-21,05-11
Piping Plover,04-08,04-14,05-13
Prairie Warbler,04-15,05-07,05-18
Prothonotary Warbler,04-22,05-07,06-23
Purple Finch,03-29,04-30,05-10
Purple Martin,04-02,04-30,09-13
Purple Sandpiper,05-21,05-21,05-21
Red-breasted Merganser,03-18,04-30,05-20
Red-breasted Nuthatch,04-22,05-07,05-16
Red-bellied Woodpecker,03-24,05-07,05-22
Red Crossbill,04-21,04-21,04-21
Redhead,02-18,03-14,03-18
Red Junglefowl,02-28,02-28,02-28
Red Knot,05-12,05-21,06-02
Redpoll,02-28,02-28,02-28
Red-eyed Vireo,05-01,05-14,10-01
Red-headed Woodpecker,04-16,05-07,05-27
Red-necked Grebe,02-22,02-28,03-10
Red-necked Phalarope,04-28,05-14,06-04
Red-shouldered Hawk,02-28,02-28,02-28
Red-tailed Hawk,03-14,03-14,03-14
Red-throated Loon,04-24,05-07,05-13
Red-winged Blackbird,02-20,04-21,08-20
Ring-billed Gull,02-20,03-21,04-27
Ring-necked Duck,02-22,03-14,04-17
Rose-breasted Grosbeak,04-21,05-07,05-31
Rock Pigeon,03-07,03-07,03-07
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,03-07,03-07,03-07
Ruby-throated Hummingbird,04-24,05-07,10-03
Ruby-crowned Kinglet,04-03,04-30,05-15
Ruddy Duck,03-08,04-14,04-28
Ruddy Turnstone,05-01,05-14,06-01
Ruff,05-22,05-31,06-06
Rusty Blackbird,03-07,04-07,05-06
Sandhill Crane,02-24,04-30,06-02
Sanderling,04-30,05-21,05-31
Savannah Sparrow,03-31,05-31,08-19
Scarlet Tanager,04-25,05-14,05-24
Scissor-tailed Flycatcher,04-30,05-07,05-13
Sedge Wren,04-15,04-30,05-07
Semipalmated Plover,04-28,05-14,06-06
Semipalmated Sandpiper,05-05,05-21,06-10
Short-billed Dowitcher,04-30,05-14,05-25
Short-eared Owl,02-26,02-28,03-01
Sharp-shinned Hawk,04-04,04-30,05-07
Slaty-backed Gull,02-28,02-28,02-28
Smith's Longspur,04-16,04-30,05-06
Snow Bunting,02-28,02-28,02-28
