Species,Mass Arrival Date,Peak Date,Peak Over Date
White-breasted Nuthatch,04-30,04-30,04-30
White-crowned Sparrow,04-22,05-07,05-16
White-eyed Vireo,04-21,04-30,05-07
Whimbrel,05-22,05-31,06-06
Whooper Swan,03-23,03-31,04-06
White-rumped Sandpiper,05-07,05-14,06-05
White-throated Sparrow,04-12,04-21,05-10
White-winged Crossbill,03-07,03-07,03-07
White-winged Dove,05-01,05-07,05-13
White-winged Scoter,02-23,03-07,03-15
Willow Flycatcher,05-09,05-21,08-21
Willet,04-22,04-30,05-06
Wilson's Phalarope,05-06,05-21,06-12
Wilson's Snipe,03-19,04-21,05-07
Wild Turkey,04-01,04-30,07-05
Winter Wren,03-24,04-21,04-30
Wilson's Warbler,05-03,05-14,05-30
Worm-eating Warbler,04-15,04-21,04-29
Wood Duck,03-09,04-07,11-05
Wood Thrush,04-25,05-14,07-20
American Coot,03-16,04-14,05-02
Iceland Gull,03-07,03-07,03-07
Yellow-breasted Chat,05-15,05-21,05-30
Yellow-billed Cuckoo,05-10,05-31,08-20
Yellow-bellied Flycatcher,05-12,05-21,06-03
Yellow-bellied Sapsucker,03-25,04-14,06-06
Yellow Warbler,04-21,05-14,08-15
Yellow-rumped Warbler,04-06,05-07,05-19
Yellow-throated Vireo,04-29,05-21,07-27
Yellow-throated Warbler,05-05,05-14,05-20
