Species,Mass Arrival Date,Peak Date,Peak Over Date
Purple Martin,04-02,05-21,09-10
Red-breasted Merganser,03-21,04-14,05-11
Red-breasted Nuthatch,04-13,04-30,05-10
Red-bellied Woodpecker,04-12,04-30,05-12
Red Crossbill,03-21,03-21,03-21
Redhead,02-19,03-14,04-06
Red Knot,05-13,05-21,06-05
Redpoll,03-07,03-07,03-07
Red-eyed Vireo,05-02,05-21,07-30
Red-headed Woodpecker,04-16,04-30,06-01
Red-necked Grebe,03-26,03-31,04-06
Red-necked Phalarope,05-15,05-21,05-30
Red-shouldered Hawk,03-21,03-21,03-21
Red-tailed Hawk,02-28,02-28,02-28
Red-throated Loon,04-03,04-21,06-02
Red-winged Blackbird,02-21,04-21,11-12
Ring-billed Gull,02-20,03-31,05-09
Ring-necked Duck,02-25,03-31,04-22
Rose-breasted Grosbeak,04-21,05-07,07-07
Rock Pigeon,02-19,02-28,03-17
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-28,02-28,02-28
Ruby-throated Hummingbird,04-23,05-14,07-07
Ruby-crowned Kinglet,04-02,04-21,05-16
Ruddy Duck,03-01,04-14,04-29
Ruddy Turnstone,05-08,05-21,06-06
Ruff,04-01,04-14,04-21
Ruffed Grouse,03-28,04-07,06-07
Rusty Blackbird,03-17,04-07,05-02
Sandhill Crane,02-21,03-07,04-08
Sanderling,04-22,05-21,06-12
Savannah Sparrow,04-01,04-30,07-23
Scarlet Tanager,04-26,05-14,07-21
Scissor-tailed Flycatcher,05-15,05-21,05-30
Sedge Wren,04-20,04-30,05-29
Semipalmated Plover,05-07,05-21,06-09
Semipalmated Sandpiper,05-10,05-21,06-17
Short-billed Dowitcher,05-02,05-14,05-28
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,04-30,04-30,04-30
Smew,03-01,03-07,03-13
Smith's Longspur,02-28,02-28,02-28
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-06,05-14,05-21
Snow Goose,02-26,02-28,03-05
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-19,04-30,05-20
Song Sparrow,03-01,03-31,08-21
Sora,04-11,04-30,05-26
Spotted Sandpiper,04-18,05-21,09-21
Spotted Towhee,02-28,02-28,02-28
Stilt Sandpiper,04-15,04-21,04-29
Summer Tanager,04-17,05-07,05-29
Surf Scoter,04-05,04-21,05-08
Swainson's Hawk,05-03,05-14,05-20
Swamp Sparrow,04-05,04-30,06-14
Swainson's Thrush,04-28,05-14,05-30
Swainson's Warbler,04-22,04-30,05-06
Swallow-tailed Kite,04-15,04-21,04-29
Tennessee Warbler,05-01,05-14,05-27
Tree Swallow,03-21,04-30,09-04
Trumpeter Swan,03-23,04-07,04-13
Tufted Titmouse,04-07,04-07,04-07
Tundra Swan,02-19,03-07,03-18
Turkey Vulture,03-07,04-21,11-05
Upland Sandpiper,04-15,04-21,05-04
Veery,04-24,05-14,07-15
Vermilion Flycatcher,05-15,05-21,05-30
Vesper Sparrow,03-27,04-14,07-27
Virginia Rail,03-31,04-30,09-30
Warbling Vireo,04-24,05-14,09-13
Western Grebe,05-08,05-14,05-20
Western Kingbird,05-15,05-21,05-30
Western Meadowlark,04-01,04-07,04-13
Western Sandpiper,05-15,05-21,05-29
White-breasted Nuthatch,04-07,04-07,04-07
White-crowned Sparrow,04-21,05-07,05-18
White-eyed Vireo,04-14,04-21,05-23
White-faced Ibis,05-07,05-14,05-20
Whimbrel,05-14,05-21,05-31
White-rumped Sandpiper,05-11,05-21,06-19
White-tailed Kite,04-22,04-30,05-06
White-throated Sparrow,04-09,04-30,05-12
White-winged Crossbill,03-14,03-14,03-14
White-winged Dove,05-22,05-31,06-12
White-winged Scoter,03-30,04-21,05-14
Willow Flycatcher,05-08,05-21,08-02
Willet,04-15,04-30,05-07
Wilson's Phalarope,04-22,04-30,05-06
Wilson's Snipe,03-18,04-07,05-06
Wild Turkey,05-23,05-31,06-25
Winter Wren,03-21,04-14,05-05
Wilson's Warbler,05-03,05-14,05-30
Worm-eating Warbler,04-16,04-30,05-12
Wood Duck,03-04,04-14,11-05
Wood Thrush,04-20,05-07,07-20
American Coot,03-02,03-14,04-26
Iceland Gull,04-01,04-21,05-04
Yellow-breasted Chat,04-11,05-07,05-29
Yellow-billed Cuckoo,05-11,05-31,09-19
Yellow-bellied Flycatcher,05-10,05-21,06-05
Yellow-bellied Sapsucker,03-25,04-14,07-09
Yellow-headed Blackbird,04-13,04-30,05-06
Yellow Warbler,04-20,05-14,08-31
Yellow-rumped Warbler,04-05,04-30,05-20
Yellow-throated Vireo,04-22,05-14,07-16
Yellow-throated Warbler,04-15,04-21,05-10
