Species,Mass Arrival Date,Peak Date,Peak Over Date
Short-eared Owl,02-28,02-28,02-28
Sharp-shinned Hawk,04-10,04-14,04-25
Snow Bunting,02-28,02-28,02-28
Snowy Egret,05-22,05-31,06-06
Snow Goose,02-28,02-28,02-28
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-22,05-07,05-20
Song Sparrow,03-07,04-07,11-04
Sora,04-09,04-30,06-10
Spotted Sandpiper,04-21,05-14,09-15
Summer Tanager,04-27,05-07,05-20
Surf Scoter,03-31,04-07,04-11
Swamp Sparrow,04-06,04-30,08-03
Swainson's Thrush,05-04,05-14,05-28
Tennessee Warbler,05-03,05-14,05-26
Townsend's Solitaire,03-15,03-21,03-30
Tree Swallow,03-24,05-21,08-15
Trumpeter Swan,02-28,02-28,02-28
Tufted Duck,02-28,02-28,02-28
Tufted Titmouse,03-24,03-31,04-06
Tundra Swan,03-01,03-07,03-13
Turkey Vulture,03-07,04-14,11-04
Upland Sandpiper,05-15,05-21,05-30
Veery,04-26,05-14,07-02
Vesper Sparrow,03-24,05-31,08-02
Virginia Rail,05-14,05-31,08-30
Warbling Vireo,04-26,05-14,08-06
Western Grebe,03-15,03-31,04-09
Western Kingbird,05-15,05-21,05-29
White-breasted Nuthatch,04-07,04-07,04-07
White-crowned Sparrow,04-21,05-07,05-19
White-eyed Vireo,05-01,05-07,05-13
Whimbrel,05-14,05-21,05-30
White-rumped Sandpiper,05-10,05-21,06-05
White-throated Sparrow,04-11,04-30,05-15
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,03-21,03-21,03-21
Willow Flycatcher,05-09,05-21,08-05
Willet,05-08,05-14,05-27
Wilson's Phalarope,05-23,05-31,06-13
Wilson's Snipe,03-19,04-14,05-07
Wild Turkey,04-17,04-30,05-07
Winter Wren,03-24,04-21,05-06
Wilson's Warbler,05-07,05-14,05-29
Worm-eating Warbler,04-15,04-21,04-29
Wood Duck,03-12,04-14,10-23
Wood Thrush,04-26,05-14,07-12
American Coot,03-14,03-14,03-14
Iceland Gull,02-20,02-28,03-03
Yellow-breasted Chat,05-08,05-14,05-20
Yellow-billed Cuckoo,05-11,05-31,07-05
Yellow-bellied Flycatcher,05-08,05-21,06-08
Yellow-bellied Sapsucker,03-27,04-14,05-05
Yellow-browed Warbler,04-15,04-21,04-29
Yellow Warbler,04-23,05-14,08-10
Yellow-rumped Warbler,04-09,05-07,05-20
Yellow-throated Vireo,04-30,05-14,06-09
Yellow-throated Warbler,04-15,04-21,04-29
