Species,Mass Arrival Date,Peak Date,Peak Over Date
Spotted Sandpiper,04-20,05-14,06-07
Surf Scoter,04-08,04-14,04-20
Swamp Sparrow,04-04,04-30,10-17
Swainson's Thrush,05-03,05-14,05-30
Tennessee Warbler,05-04,05-14,05-26
Tree Swallow,03-27,05-14,07-26
Trumpeter Swan,02-19,02-28,03-11
Tufted Titmouse,05-08,05-14,05-20
Tundra Swan,02-22,03-07,03-29
Turkey Vulture,03-14,03-31,10-21
Upland Sandpiper,04-13,05-31,07-18
Varied Thrush,02-28,02-28,02-28
Veery,05-05,05-31,08-03
Vesper Sparrow,03-31,04-14,07-19
Virginia Rail,04-04,04-30,08-14
Warbling Vireo,04-28,05-21,09-10
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-19
Whimbrel,05-15,05-21,05-30
White-rumped Sandpiper,05-08,05-14,05-28
White-throated Sparrow,04-13,04-30,07-17
White-winged Crossbill,02-17,02-28,03-02
White-winged Scoter,04-07,04-07,04-07
Willow Flycatcher,05-10,05-31,07-30
Wilson's Phalarope,04-26,05-14,05-28
Wilson's Snipe,03-19,04-14,06-13
Wild Turkey,03-29,04-21,05-31
Winter Wren,03-28,04-30,08-09
Wilson's Warbler,05-05,05-21,05-30
Worm-eating Warbler,04-15,04-21,04-29
Wood Duck,03-14,04-14,10-30
Wood Thrush,04-28,05-14,07-23
American Coot,03-02,03-07,04-07
Iceland Gull,03-07,03-07,03-07
Yellow-crowned Night Heron,04-08,04-14,04-21
Yellow-billed Cuckoo,05-15,05-31,08-30
Yellow-bellied Flycatcher,05-14,05-21,06-06
Yellow-bellied Sapsucker,03-31,04-21,10-06
Yellow-headed Blackbird,03-01,03-07,03-13
Yellow Rail,04-27,05-07,05-18
Yellow Warbler,04-25,05-14,08-17
Yellow-rumped Warbler,04-14,04-30,05-29
Yellow-throated Vireo,04-29,05-21,09-14
Yellow-throated Warbler,05-08,05-14,05-20
