Species,Mass Arrival Date,Peak Date,Peak Over Date
Sharp-shinned Hawk,03-30,04-14,05-06
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-02,03-21,04-06
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-22,05-07,05-19
Song Sparrow,03-09,04-07,10-24
Sora,04-18,04-30,07-09
Spotted Sandpiper,04-21,05-07,06-11
Swan Goose,02-28,02-28,02-28
Swamp Sparrow,04-04,04-30,08-13
Swainson's Thrush,05-05,05-14,06-01
Tennessee Warbler,05-03,05-14,05-28
Townsend's Solitaire,03-03,03-07,03-11
Tree Swallow,03-25,04-30,08-19
Trumpeter Swan,02-18,02-28,03-02
Tufted Duck,03-13,03-21,03-30
Tufted Titmouse,02-28,02-28,02-28
Tundra Swan,03-14,03-21,04-01
Turkey Vulture,03-10,04-07,10-21
Upland Sandpiper,05-02,05-21,08-05
Veery,05-04,05-31,07-17
Vesper Sparrow,03-28,04-21,07-21
Virginia Rail,04-02,05-31,09-10
Warbling Vireo,04-26,05-21,08-06
Western Tanager,04-22,04-30,05-06
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-23,05-07,05-17
Whimbrel,05-15,05-21,05-29
White-rumped Sandpiper,05-15,05-21,05-30
White-throated Sparrow,04-14,04-30,05-17
White-winged Crossbill,04-30,04-30,04-30
White-winged Scoter,02-24,03-07,03-11
Willow Flycatcher,05-12,05-31,08-02
Willet,05-08,05-14,05-20
Wilson's Phalarope,05-08,05-14,05-20
Wilson's Snipe,03-23,04-30,07-12
Wild Turkey,03-29,05-14,06-11
Winter Wren,03-30,04-21,07-21
Wilson's Warbler,05-07,05-14,05-30
Wood Duck,03-12,04-14,11-03
Wood Thrush,04-28,05-14,07-26
American Coot,03-11,03-14,03-20
Iceland Gull,03-14,03-14,03-14
Yellow-billed Cuckoo,05-12,05-31,08-21
Yellow-bellied Flycatcher,05-08,05-14,06-05
Yellow-bellied Sapsucker,04-01,04-21,10-05
Yellow Warbler,04-25,05-14,08-16
Yellow-rumped Warbler,04-15,05-07,05-24
Yellow-throated Vireo,04-28,05-14,09-18
