Species,Mass Arrival Date,Peak Date,Peak Over Date
Ruby-throated Hummingbird,05-04,05-21,09-17
Ruby-crowned Kinglet,04-10,04-30,05-29
Ruddy Duck,04-08,04-14,04-18
Ruddy Turnstone,05-08,05-14,05-31
Ruffed Grouse,04-11,05-07,06-04
Rusty Blackbird,04-04,04-21,05-07
Sandhill Crane,03-19,04-07,10-18
Sanderling,05-15,05-21,05-30
Savannah Sparrow,04-16,05-14,10-10
Scarlet Tanager,05-06,05-31,07-12
Sedge Wren,04-28,05-21,07-26
Semipalmated Plover,05-07,05-14,05-30
Semipalmated Sandpiper,05-08,05-14,06-06
Short-billed Dowitcher,05-04,05-14,05-21
Short-eared Owl,03-31,04-21,04-29
Sharp-shinned Hawk,03-31,04-21,05-14
Sharp-tailed Grouse,02-19,03-14,04-02
Snow Bunting,03-08,03-31,04-10
Snow Goose,03-15,04-07,04-23
Snowy Owl,03-07,03-07,03-07
Solitary Sandpiper,04-24,05-07,05-21
Song Sparrow,03-23,04-21,10-18
Sora,04-23,05-14,07-10
Spotted Sandpiper,04-25,05-14,09-12
Spotted Towhee,02-28,02-28,02-28
Spruce Grouse,05-24,05-31,06-03
Stilt Sandpiper,05-01,05-07,05-13
Summer Tanager,05-01,05-07,05-18
Surf Scoter,04-17,05-07,05-18
Swamp Sparrow,04-14,05-07,10-14
Swainson's Thrush,05-10,05-31,08-14
Tennessee Warbler,05-05,05-14,06-04
Tree Swallow,04-08,05-14,07-18
Tricolored Heron,05-08,05-14,05-28
Trumpeter Swan,03-31,04-07,04-20
Tufted Titmouse,03-15,03-21,03-30
Tundra Swan,03-17,04-07,05-04
Turkey Vulture,03-22,04-21,10-14
Upland Sandpiper,05-08,05-14,05-20
Varied Thrush,02-28,02-28,02-28
Veery,05-09,05-31,07-21
Vermilion Flycatcher,05-23,05-31,06-06
Vesper Sparrow,04-15,05-14,08-02
Virginia Rail,04-23,05-31,08-04
Warbling Vireo,05-02,05-21,07-12
Western Kingbird,05-01,05-07,05-13
Western Meadowlark,03-22,03-31,04-06
Western Tanager,05-15,05-21,05-30
White-breasted Nuthatch,03-14,03-14,03-14
White-crowned Sparrow,04-25,05-07,05-21
White-faced Ibis,04-22,04-30,05-06
Whimbrel,05-11,05-21,05-29
White-rumped Sandpiper,05-15,05-21,06-05
White-throated Sparrow,04-14,05-07,10-19
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,04-17,05-07,05-28
Willow Flycatcher,05-09,05-21,06-29
Wilson's Phalarope,04-17,05-14,05-23
Wilson's Snipe,04-04,04-21,07-14
Wild Turkey,04-07,04-14,04-29
Winter Wren,04-08,05-31,08-11
Wilson's Warbler,05-07,05-21,05-31
Wood Duck,03-22,04-21,10-21
Wood Thrush,05-02,05-31,07-25
American Coot,04-08,04-14,05-17
Iceland Gull,03-07,03-07,03-07
Yellow-crowned Night Heron,04-08,04-14,04-28
Yellow-billed Cuckoo,05-21,05-31,07-14
Yellow-bellied Flycatcher,05-14,05-31,08-06
Yellow-bellied Sapsucker,04-05,05-07,09-20
Yellow-headed Blackbird,03-11,03-14,03-17
Yellow Rail,05-23,05-31,07-08
Yellow Warbler,05-01,05-21,08-20
Yellow-rumped Warbler,04-11,05-07,10-15
Yellow-throated Vireo,05-11,05-21,06-06
Yellow-throated Warbler,05-16,05-31,06-06
