Species,Mass Arrival Date,Peak Date,Peak Over Date
Parasitic Jaeger,05-11,05-21,05-29
Pectoral Sandpiper,03-08,03-14,03-21
Peregrine Falcon,03-21,03-21,03-21
Philadelphia Vireo,05-06,05-14,05-30
Pied-billed Grebe,03-12,03-31,04-29
Pileated Woodpecker,03-10,03-14,03-19
Pine Grosbeak,03-07,03-07,03-07
Pine Siskin,04-01,04-14,05-11
Pine Warbler,04-04,04-21,05-15
Piping Plover,05-14,05-21,08-12
Pomarine Jaeger,03-15,03-21,03-30
Prairie Warbler,04-22,04-30,05-17
Prothonotary Warbler,05-22,05-31,06-07
Purple Finch,04-03,04-30,05-13
Purple Martin,04-06,05-21,08-31
Purple Sandpiper,05-21,05-21,05-21
Red-breasted Merganser,02-26,03-07,03-15
Red-breasted Nuthatch,04-30,04-30,04-30
Red-bellied Woodpecker,03-15,05-14,06-10
Red Crossbill,03-03,03-07,03-11
Redhead,03-07,03-14,03-15
Red Junglefowl,02-28,02-28,02-28
Red Knot,05-15,05-21,06-03
Redpoll,03-02,03-07,03-15
Red-eyed Vireo,05-05,05-21,09-26
Red-headed Woodpecker,04-21,04-30,05-24
Red-necked Grebe,02-27,03-31,07-14
Red-shouldered Hawk,03-07,03-07,03-07
Red-tailed Hawk,02-19,03-07,04-03
Red-throated Loon,04-10,05-21,05-31
Red-winged Blackbird,02-22,04-21,08-20
Ring-billed Gull,02-24,05-21,11-30
Ring-necked Duck,02-28,03-31,04-23
Rose-breasted Grosbeak,04-24,05-07,05-24
Rock Pigeon,05-21,05-31,11-05
Rough-legged Hawk,02-28,02-28,02-28
Ross's Goose,02-28,02-28,02-28
Ruby-throated Hummingbird,05-01,05-14,09-28
Ruby-crowned Kinglet,04-05,04-21,05-17
Ruddy Duck,03-08,04-14,04-25
Ruddy Turnstone,05-11,05-21,06-03
Ruffed Grouse,02-28,02-28,02-28
Rusty Blackbird,04-04,04-30,05-10
Sandhill Crane,03-07,03-14,06-03
Sanderling,05-14,05-21,06-05
Savannah Sparrow,04-02,04-30,08-04
Say's Phoebe,04-14,04-21,04-29
Scarlet Tanager,05-01,05-14,05-25
Sedge Wren,04-23,05-07,05-14
Semipalmated Plover,05-08,05-21,06-06
Semipalmated Sandpiper,05-12,05-21,06-11
Short-billed Dowitcher,05-04,05-21,05-30
Short-eared Owl,04-14,04-14,04-14
Sharp-shinned Hawk,03-27,04-14,05-04
Slaty-backed Gull,02-28,02-28,02-28
Snow Bunting,03-07,03-07,03-07
Snowy Egret,04-22,04-30,05-06
Snow Goose,04-07,04-14,05-11
Snowy Owl,03-14,03-14,03-14
Solitary Sandpiper,04-21,04-30,05-21
Song Sparrow,03-04,04-07,11-04
Sora,04-14,04-30,05-17
Spotted Sandpiper,04-21,05-21,09-22
Summer Tanager,05-08,05-14,05-20
Surf Scoter,02-25,03-07,03-12
Swamp Sparrow,04-05,04-30,05-18
Swainson's Thrush,05-02,05-14,05-29
Swainson's Warbler,05-08,05-14,05-20
Swallow-tailed Kite,05-01,05-07,05-13
Tennessee Warbler,05-03,05-14,05-27
Townsend's Solitaire,02-28,02-28,02-28
Tree Swallow,03-22,05-21,08-20
Tricolored Heron,05-15,05-21,05-29
Trumpeter Swan,03-08,03-14,03-18
Tufted Titmouse,04-12,04-14,04-15
Tundra Swan,02-28,03-07,03-16
Turkey Vulture,03-11,04-14,11-08
Upland Sandpiper,04-18,04-30,05-06
Varied Thrush,02-28,02-28,02-28
Veery,04-26,05-14,05-21
Vesper Sparrow,03-31,04-07,04-27
Virginia Rail,03-31,04-07,05-20
Warbling Vireo,04-25,05-21,09-12
Western Grebe,02-22,02-28,04-07
Western Kingbird,05-23,05-31,06-06
Western Meadowlark,05-08,05-14,05-20
Western Sandpiper,05-15,05-21,05-29
Western Tanager,05-15,05-21,05-29
White-breasted Nuthatch,03-21,03-21,03-21
White-crowned Sparrow,04-22,05-07,05-20
White-eyed Vireo,04-08,04-14,05-20
Whimbrel,05-12,05-21,05-30
White-rumped Sandpiper,05-14,05-31,06-10
White-throated Sparrow,04-10,04-30,05-16
White-winged Crossbill,03-14,03-14,03-14
White-winged Scoter,02-20,03-07,03-27
Willow Flycatcher,05-08,05-21,08-20
Willet,04-16,04-30,05-07
Wilson's Phalarope,05-01,05-07,05-14
Wilson's Plover,05-15,05-21,05-29
Willow Ptarmigan,05-01,05-07,05-13
Wilson's Snipe,03-16,04-14,05-09
Wild Turkey,03-07,03-07,03-07
Winter Wren,03-22,04-21,05-07
Wilson's Warbler,05-05,05-14,05-30
Worm-eating Warbler,04-15,04-21,05-11
Wood Duck,03-07,04-07,11-11
Wood Thrush,04-22,05-07,05-28
American Coot,03-19,04-07,04-11
Iceland Gull,02-28,02-28,02-28
Yellow-crowned Night Heron,05-11,05-21,05-30
Yellow-breasted Chat,04-22,04-30,05-19
Yellow-billed Cuckoo,05-14,05-31,07-11
Yellow-bellied Flycatcher,05-09,05-21,06-05
Yellow-bellied Sapsucker,03-27,04-14,05-05
Yellow-headed Blackbird,05-01,05-14,05-20
Yellow Rail,05-01,05-07,05-13
Yellow Warbler,04-22,05-14,08-24
Yellow-rumped Warbler,04-07,04-30,05-20
Yellow-throated Vireo,04-24,05-14,05-21
Yellow-throated Warbler,04-15,04-21,04-29
