Species,Mass Arrival Date,Peak Date,Peak Over Date
Ruby-crowned Kinglet,04-08,04-21,05-14
Ruddy Duck,03-15,04-14,05-06
Ruddy Turnstone,05-15,05-21,05-29
Ruffed Grouse,04-01,05-14,05-29
Rusty Blackbird,03-25,04-30,05-07
Sandhill Crane,02-25,05-21,12-03
Savannah Sparrow,04-06,05-31,08-07
Scarlet Tanager,05-02,05-14,07-02
Sedge Wren,04-27,05-31,07-19
Semipalmated Plover,05-03,05-21,05-31
Semipalmated Sandpiper,05-11,05-21,06-03
Short-billed Dowitcher,05-03,05-14,05-27
Short-eared Owl,03-31,03-31,03-31
Sharp-shinned Hawk,04-13,04-14,04-15
Snow Bunting,02-28,02-28,02-28
Snow Goose,03-03,03-07,03-11
Snowy Owl,02-28,02-28,02-28
Solitary Sandpiper,04-18,05-07,05-19
Song Sparrow,03-09,05-14,10-25
Sora,04-06,04-30,05-19
Spotted Sandpiper,04-18,05-14,09-26
Stilt Sandpiper,05-08,05-14,05-20
Summer Tanager,04-22,04-30,05-06
Surf Scoter,04-22,04-30,05-06
Swamp Sparrow,04-07,05-31,10-30
Swainson's Thrush,05-04,05-14,05-22
Tennessee Warbler,05-03,05-14,05-25
Tree Swallow,04-01,05-14,08-07
Trumpeter Swan,02-18,03-14,04-06
Tufted Titmouse,03-07,03-07,03-07
Tundra Swan,02-21,03-07,03-28
Turkey Vulture,03-08,03-31,10-23
Upland Sandpiper,04-08,04-14,05-11
Varied Thrush,02-28,02-28,02-28
Veery,05-04,05-21,07-23
Vesper Sparrow,04-01,04-14,08-02
Virginia Rail,03-31,04-21,08-31
Warbling Vireo,04-28,05-21,08-02
White-breasted Nuthatch,05-07,05-07,05-07
White-crowned Sparrow,04-23,05-07,05-17
White-eyed Vireo,05-15,05-21,05-30
White-rumped Sandpiper,05-15,05-21,06-16
White-throated Sparrow,04-13,04-30,05-28
White-winged Crossbill,02-28,02-28,02-28
White-winged Scoter,04-01,04-07,04-18
Willow Flycatcher,05-13,05-31,08-04
Willet,05-01,05-07,05-13
Wilson's Phalarope,05-08,05-14,05-20
Wilson's Snipe,03-24,04-21,06-06
Wild Turkey,04-10,04-21,06-12
Winter Wren,03-31,04-30,07-23
Wilson's Warbler,05-06,05-14,05-29
Worm-eating Warbler,05-08,05-14,05-20
Wood Duck,03-08,04-30,11-03
Wood Thrush,04-29,05-14,07-09
American Coot,03-17,04-14,04-29
Iceland Gull,03-07,03-07,03-07
Yellow-breasted Chat,05-23,05-31,06-16
Yellow-billed Cuckoo,05-14,05-31,07-18
Yellow-bellied Flycatcher,05-07,05-21,05-31
Yellow-bellied Sapsucker,03-31,04-14,05-20
Yellow-headed Blackbird,05-01,05-07,05-13
Yellow Rail,04-22,04-30,05-06
Yellow Warbler,04-25,05-14,08-12
Yellow-rumped Warbler,04-11,05-07,05-21
Yellow-throated Vireo,05-04,05-31,06-18
Yellow-throated Warbler,04-08,04-14,04-21
