Species,Mass Arrival Date,Peak Date,Peak Over Date
Tree Swallow,04-09,05-14,07-08
Trumpeter Swan,05-01,05-07,05-13
Tundra Swan,04-07,04-14,04-27
Turkey Vulture,03-25,05-14,10-19
Upland Sandpiper,05-08,05-21,05-31
Veery,05-15,05-31,08-18
Vesper Sparrow,04-05,04-14,05-27
Virginia Rail,05-05,05-21,07-25
Warbling Vireo,04-30,05-21,07-28
White-breasted Nuthatch,02-28,02-28,02-28
White-crowned Sparrow,04-25,05-07,05-20
Whimbrel,05-10,05-21,05-29
White-throated Sparrow,04-13,04-30,08-07
White-winged Crossbill,04-14,04-14,04-14
White-winged Scoter,05-02,05-14,05-23
Willow Flycatcher,05-15,05-21,05-29
Willet,05-08,05-14,05-20
Wilson's Phalarope,05-08,05-14,05-21
Wilson's Snipe,03-31,04-14,07-04
Wild Turkey,02-28,02-28,02-28
Winter Wren,04-04,04-21,09-05
Wilson's Warbler,05-08,05-14,05-27
Wood Duck,03-22,05-14,10-30
Wood Thrush,05-07,05-14,07-28
American Coot,05-23,05-31,06-06
Iceland Gull,05-14,05-14,05-14
Yellow-bellied Flycatcher,05-11,05-31,06-06
Yellow-bellied Sapsucker,03-31,04-21,10-06
Yellow-headed Blackbird,04-08,04-14,04-20
Yellow Warbler,05-02,05-21,08-18
Yellow-rumped Warbler,04-17,05-14,10-20
