Species,Mass Arrival Date,Peak Date,Peak Over Date
White-winged Crossbill,03-07,03-07,03-07
White-winged Scoter,05-21,05-21,05-21
Wilson's Snipe,03-30,04-30,06-10
Wild Turkey,03-06,04-07,05-10
Winter Wren,03-31,05-14,08-12
Wilson's Warbler,05-08,05-14,05-29
Wood Duck,03-19,04-21,10-29
Wood Thrush,05-01,05-14,07-29
Yellow-billed Cuckoo,05-23,05-31,06-22
Yellow-bellied Flycatcher,05-14,05-21,09-16
Yellow-bellied Sapsucker,04-03,05-07,09-25
Yellow-headed Blackbird,05-15,05-21,05-29
Yellow Warbler,04-29,05-14,07-12
Yellow-rumped Warbler,04-16,05-14,10-16
Yellow-throated Vireo,05-01,05-07,05-18
